# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
    24.000   120.293   124.336   143.465   189.846   0.376E-02    96.137    62.545    48.014
    24.250   120.589   123.609   142.792   188.862   0.331E-02    95.585    62.138    47.766
    24.500   120.861   122.899   142.122   187.890   0.291E-02    95.044    61.745    47.521
    24.750   121.112   122.205   141.454   186.932   0.255E-02    94.513    61.368    47.281
    25.000   121.340   121.528   140.791   185.987   0.223E-02    93.992    61.004    47.044
    25.250   121.547   120.865   140.133   185.055   0.194E-02    93.479    60.652    46.810
    25.500   121.732   120.214   139.479   184.136   0.169E-02    92.976    60.309    46.580
    25.750   121.896   119.575   138.831   183.228   0.146E-02    92.482    59.973    46.354
    26.000   122.040   118.946   138.188   182.329   0.126E-02    91.995    59.640    46.130
    26.250   122.164   118.325   137.550   181.440   0.109E-02    91.517    59.309    45.910
    26.500   122.268   117.710   136.918   180.561   0.931E-03    91.047    58.976    45.693
    26.750   122.353   117.102   136.293   179.690   0.796E-03    90.585    58.642    45.479
    27.000   122.419   116.499   135.674   178.828   0.679E-03    90.129    58.306    45.268
    27.250   122.466   115.904   135.062   177.976   0.576E-03    89.681    57.970    45.060
    27.500   122.495   115.315   134.456   177.133   0.488E-03    89.240    57.634    44.854
    27.750   122.507   114.733   133.857   176.299   0.412E-03    88.806    57.300    44.652
    28.000   122.502   114.159   133.265   175.476   0.347E-03    88.379    56.969    44.452
    28.250   122.480   113.592   132.678   174.662   0.291E-03    87.958    56.640    44.255
    28.500   122.442   113.034   132.099   173.859   0.243E-03    87.544    56.316    44.061
    28.750   122.388   112.484   131.529   173.068   0.202E-03    87.135    55.996    43.869
    29.000   122.320   111.942   130.966   172.287   0.168E-03    86.733    55.681    43.679
    29.250   122.236   111.407   130.409   171.517   0.139E-03    86.337    55.370    43.492
    29.500   122.139   110.879   129.857   170.755   0.115E-03    85.946    55.063    43.307
    29.750   122.027   110.359   129.311   170.001   0.943E-04    85.561    54.759    43.125
    30.000   121.903   109.844   128.772   169.257   0.772E-04    85.181    54.458    42.945
